iter	Passed	Remaining
875	1856	262
876	1858	260
877	1860	258
878	1862	256
879	1864	254
880	1865	252
881	1867	249
882	1868	247
883	1870	245
884	1872	243
885	1873	241
886	1876	239
887	1878	236
888	1880	234
889	1881	232
890	1883	230
891	1885	228
892	1887	226
893	1889	224
894	1891	221
895	1893	219
896	1895	217
897	1897	215
898	1899	213
899	1900	211
900	1902	209
901	1904	206
902	1906	204
903	1907	202
904	1909	200
905	1911	198
906	1912	196
907	1914	193
908	1915	191
909	1917	189
910	1919	187
911	1921	185
912	1923	183
913	1924	181
914	1926	178
915	1928	176
916	1930	174
917	1931	172
918	1933	170
919	1935	168
920	1937	166
921	1939	164
922	1940	161
923	1942	159
924	1944	157
925	1946	155
926	1948	153
927	1949	151
928	1951	149
929	1953	147
930	1955	144
931	1956	142
932	1958	140
933	1961	138
934	1962	136
935	1964	134
936	1966	132
937	1968	130
938	1969	127
939	1971	125
940	1972	123
941	1975	121
942	1977	119
943	1978	117
944	1980	115
945	1982	113
946	1984	111
947	1985	108
948	1987	106
949	1989	104
950	1991	102
951	1993	100
952	1996	98
953	1998	96
954	2000	94
955	2002	92
956	2004	90
957	2006	87
958	2008	85
959	2010	83
960	2012	81
961	2013	79
962	2016	77
963	2018	75
964	2020	73
965	2021	71
966	2023	69
967	2025	66
968	2027	64
969	2029	62
970	2032	60
971	2034	58
972	2036	56
973	2038	54
974	2040	52
975	2041	50
976	2043	48
977	2045	46
978	2047	43
979	2049	41
980	2051	39
981	2053	37
982	2055	35
983	2056	33
984	2058	31
985	2059	29
986	2061	27
987	2062	25
988	2064	22
989	2066	20
990	2068	18
991	2069	16
992	2071	14
993	2073	12
994	2074	10
995	2076	8
996	2078	6
997	2080	4
998	2082	2
999	2084	0
